Feature,Mean,Std
5-dapi_area,147.4753458096013,69.45275357850882
8-dapi_mean,151.03365402766477,36.874173501181794
9-ck_area,161.94125305126119,74.38464331779474
12-ck_mean,12.882552807160295,5.795014963366105
13-ck_total,2054.39886086249,1369.640483105308
15-cd45_mean,9.443896501220504,2.418323965634634
22-dapi_fb_mean,7.2849663140764855,3.3618911326267846
23-ck_fb_mean,4.386195443449959,1.7701828798472306
24-cd45_fb_mean,2.2520262001627342,0.5455168857636613
26-ck_vs_cd45,1.3933700569568754,0.6035685486490928
28-ck_dapi_Area,1.1829695687550854,0.5041696206615461
30-ck_impurity_fb,3.964444263628967,1.4249622832385394
